3 16 2 125.661538
3 16 16 8.183673
3 4096 2 146.492386
3 4096 16 25.899522
3 131072 2 144.462312
3 131072 16 32.892308
6 16 2 67.140704
6 16 16 2.351485
6 4096 2 278.975490
6 4096 16 40.208122
6 131072 2 273.577114
6 131072 16 61.145729
12 16 2 59.091371
12 16 16 1.924623
12 4096 2 594.363636
12 4096 16 48.532020
12 131072 2 570.030151
12 131072 16 116.214286
24 16 2 48.323077
24 16 16 1.516588
24 4096 2 1103.200000
24 4096 16 46.492611
24 131072 2 1185.734694
24 131072 16 223.030769
48 16 2 46.849246
48 16 16 1.353982
48 4096 2 2136.617347
48 4096 16 40.906863
48 131072 2 2244.593909
48 131072 16 396.545918
